2020-02-13 10:40:28.810  INFO 16868 --- [main] c.n.A.EvenSubscriptionApplication        : Starting EvenSubscriptionApplication on Sheetals-MacBook-Pro.local with PID 16868 (/Users/sheetalkumar/Desktop/Demo3W/nwdaf/EventSubscription/target/classes started by sheetalkumar in /Users/sheetalkumar/Desktop/Demo3W/nwdaf/EventSubscription)
2020-02-13 10:40:28.813  INFO 16868 --- [main] c.n.A.EvenSubscriptionApplication        : No active profile set, falling back to default profiles: default
2020-02-13 10:40:30.338  INFO 16868 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-02-13 10:40:30.580  INFO 16868 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2020-02-13 10:40:30.592  INFO 16868 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-13 10:40:30.592  INFO 16868 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-13 10:40:30.675  INFO 16868 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-13 10:40:30.675  INFO 16868 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1785 ms
2020-02-13 10:40:30 DEBUG Nnwdaf_controller:57 - Entered Nnwdaf_controller()
2020-02-13 10:40:30 INFO  Nnwdaf_controller:58 - Thread started
2020-02-13 10:40:30 DEBUG Nnwdaf_controller:66 - Exit Nnwdaf_controller()
2020-02-13 10:40:31.176  INFO 16868 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-13 10:40:31.390  INFO 16868 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 3 endpoint(s) beneath base path '/actuator'
2020-02-13 10:40:31.472  INFO 16868 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2020-02-13 10:40:31.475  INFO 16868 --- [main] c.n.A.EvenSubscriptionApplication        : Started EvenSubscriptionApplication in 3.391 seconds (JVM running for 3.965)
2020-02-13 10:40:31 DEBUG EvenSubscriptionApplication:19 - In EventSubscriptionApplication Class
2020-02-13 10:40:31.965  INFO 16868 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-02-13 10:40:32.369  INFO 16868 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:32 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:33 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
2020-02-13 10:40:34 DEBUG Nnwdaf_controller:488 - Enter getALLSubscriptionIDs
2020-02-13 10:40:34 DEBUG Nnwdaf_controller:496 - Exit getALLsubscirptionIDs
